,country,number_of_victims
0,Argentina,7
1,Australia,1
2,Bangladesh,7
3,Bolivia,2
4,Brazil,342
5,Burkina Faso,2
6,Cambodia,10
7,Cameroon,1
8,Canada,1
9,Chad,5
10,Chile,4
11,Colombia,322
12,Costa Rica,4
13,Democratic Republic of the Congo,70
14,Dominican Republic,2
15,Ecuador,4
16,France,1
17,Gabon,1
18,Gambia,2
19,Ghana,1
20,Guatemala,80
21,Honduras,117
22,India,79
23,Indonesia,14
24,Iran,9
25,Iraq,1
26,Ireland,1
27,Kazakhstan,3
28,Kenya,6
29,Kiribati,1
30,Laos,1
31,Liberia,3
32,Malaysia,1
33,Mexico,154
34,Mozambique,1
35,Myanmar,8
36,Nepal,1
37,Nicaragua,57
38,Pakistan,5
39,Panama,1
40,Papua New Guinea,4
41,Paraguay,13
42,Peru,51
43,Philippines,270
44,Romania,2
45,Russia,4
46,Saudi Arabia,1
47,Senegal,1
48,South Africa,5
49,Spain,2
50,Sri Lanka,1
51,Tanzania,2
52,Thailand,13
53,Turkey,2
54,Uganda,5
55,Ukraine,4
56,United States of America,1
57,Venezuela,17
58,Vietnam,1
59,Zambia,1
60,Zimbabwe,1
