id,date,name,gender,age,person_characteristics,industry_driver,perpetrator_type,continent,country,country_numeric,local_region,number_of_victims
recUtOzGtsS32htcx,2016-02-18,Aníbal Coronado Madera,Male,49,Other,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Córdoba,1
recUa5euwWBpvKfG5,2016-10-16,Yimer Chávez Rivera,Male,31,Small-scale farmer,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Cauca,1
recWtCbjSXaZ7UvwT,2015-02-10,Héctor William Cabrera Suárez,Male,58,Other,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Caquetá,1
recW7SD6mckYHTpFp,2016-04-27,Rolan Lonin Casiano,Male,32,Small-scale farmer,Sector could not be confirmed*,Armed forces,Asia,Philippines,608,Bicol,1
recWmyV8Q7VDHi3WZ,2015-05-22,Benilda Santos,Female,43,,Sector could not be confirmed*,Unspecified,Asia,Philippines,608,Quezon City,1
recWmTj7No5ZjRub3,2016-08-29,Diego Alfredo Chirán Nastacuas,Male,24,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Nariño,1
recXyCnWqXJq21wbp,2014-04-21,Luis Javier Campo Méndez,Male,22,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,,1
recXQ9gDYXHR3ZVJF,2016-12-30,Yaneth Alejandra Calvache Viveros,Female,,Small-scale farmer,Sector could not be confirmed*,Hitmen,Americas,Colombia,170,Cauca,1
recZxZuLUsBNzu3Ai,2017-10-24,Aulio Isarama Forastero,Male,,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Chocó,1
rec2nIVRWr4EJegkU,2016-05-20,Manuel Chimá Pérez,Male,21,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Antioquia,1
rec2YC27Epzd2Wshs,2016-03-27,Cristian Anacona Castro,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Cauca,1
rectG0xXuUUjvla9K,2017-08-17,Manuel Ramírez Mosquera,Male,,Afrodescendant,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Chocó,1
rect0f73SQN3nssNb,2015-02-04,Heriberto Narváez Hoyos,Male,57,Other,Sector could not be confirmed*,Hitmen,Americas,Colombia,170,Cauca,1
recvZur74witDheff,2016-09-17,Ramiro Culma Carepa,Male,40,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Tolima,1
recwVqd1LwARMh9m1,2016-07-29,Evaristo Dagua Troches,Male,64,Small-scale farmer,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Cauca,1
recxuuZVRaZWmRjz2,2016-03-10,Gil de Jesús Silgado,Male,48,Small-scale farmer,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Arauca,1
recx6tM9fiS6cXz0B,2016-08-26,Camilo Roberto Taicus Bisbicusm,Male,50,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,Nariño,1
recycSKOxpZEWQwBm,2017-10-07,Esquivel Manyoma,Male,,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Chocó,1
recymOCpxTBUE56ds,2017-02-26,Eder Cuetia Conda,Male,,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Cauca,1
recyGQgVQqTOBoZy7,2015-08-18,Emer Somina,Male,17,Indigenous peoples,Sector could not be confirmed*,Armed forces,Asia,Philippines,608,Bukidnon,1
recyX8PB4OUZRAjVP,2015-12-26,Ofelia María Mosquera Úsuga,Female,37,Lawyer,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Chocó,1
recAFKBrdQ0ropuYc,2015-09-03,Eliseo Rodríguez,Male,33,,Sector could not be confirmed*,Unspecified,Americas,Honduras,340,Bajo Aguán,1
recBsT93mjyPOLCib,2017-12-04,Marcelito “Tito” Paez,Male,72,Other,Sector could not be confirmed*,Hitmen,Asia,Philippines,608,Nueva Ecija,1
recBJ2xQryzMeDM8A,2015-01-30,Jaminton Andres Avila,Male,43,Small-scale farmer,Sector could not be confirmed*,Hitmen,Americas,Colombia,170,Antioquia,1
recD0BDdazsvozMKa,2017-03-04,Orestes Rodrigues de Castro,Male,59,Small-scale farmer,Sector could not be confirmed*,Landowners,Americas,Brazil,076,Rondônia,1
recFVxWpICMy1j9zn,2017-05-16,Paulo Sérgio Bento Oliveira,Male,35,Small-scale farmer,Sector could not be confirmed*,Police,Americas,Brazil,076,Rondônia,1
recGsKVP7hsM1k2g5,2016-03-18,Adrián Quintero,Male,,Afrodescendant,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Valle del Cauca,1
recGRlClzGG9xKw1t,2016-04-27,Michael Sib-ot,Male,,Indigenous peoples,Sector could not be confirmed*,Armed forces,Asia,Philippines,608,"Bukidnon, Mindanao",1
recGVqMeH6ZU6pITh,2016-11-11,José Antonio Velasco Taquinas,Male,23,Other,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Cauca,1
recH5TAJkvdDQoBss,2017-03-04,Renato Souza Benevides,Male,31,Other,Sector could not be confirmed*,Unspecified,Americas,Brazil,076,Rondônia,1
recIL4DF85si3Py9e,2016-08-29,Luciano Pascal García,Male,23,Indigenous peoples,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Nariño,1
recJ4gU9TdOlskYBd,2015-08-18,Herminio Samia,Male,70,Indigenous peoples,Sector could not be confirmed*,Armed forces,Asia,Philippines,608,Bukidnon,1
recLtNpq35Kw65aOa,2015-08-18,Welmer Somina ,Male,19,Indigenous peoples,Sector could not be confirmed*,Armed forces,Asia,Philippines,608,Bukidnon,1
recLoPQlhRbASdlgQ,2015-07-06,Unnamed rural worker,Male,,,Sector could not be confirmed*,Unspecified,Americas,Brazil,076,Rondônia,1
recM9BOff6Z2xdsT0,2017-01-11,José Yeimer Cartagena,Male,,Small-scale farmer,Sector could not be confirmed*,Private military actors,Americas,Colombia,170,Antioquia,1
recMWKGVhN5JeKLoG,2017-01-07,Rafael Hernández Cisneros,Male,35,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Mexico,484,Oaxaca,1
recOB4iF38jBHoOh7,2014-10-28,Fabio José Alegría Dagua Conda,Male,,Indigenous peoples,Sector could not be confirmed*,Unspecified,Americas,Colombia,170,,1
